Player Name,Date,Games Played,Score,Kills,Deaths,Assists,Damage,Damage Taken,Kd,Headshots,Revives,Teams Wiped,GN
Captain Ahmed,2021-06-14,9,16700,20,10,10,10677,3693,2.0,4,2,3,TRUE
The Golden God,2021-06-14,8,16650,11,13,6,5742,3942,0.85,2,4,1,FALSE
Cheen,2021-06-14,9,12850,13,13,8,6177,3825,1.0,2,2,1,FALSE
Captain Ahmed,2021-06-15,8,25000,16,14,10,6898,4405,1.14,2,5,4,TRUE
The Golden God,2021-06-15,8,17750,28,16,14,13163,5120,1.75,10,1,3,TRUE
Cheen,2021-06-15,8,20150,14,15,13,7383,4234,0.93,4,2,1,TRUE
Captain Ahmed,2021-06-16,10,31400,12,26,7,6567,6979,0.46,3,7,1,FALSE
The Golden God,2021-06-16,10,22675,32,20,11,16267,6087,1.6,9,3,0,TRUE
Cheen,2021-06-16,11,19425,14,25,13,9064,5942,0.56,1,4,1,TRUE
Captain Ahmed,2021-06-20,5,8425,11,10,5,4778,3378,1.1,0,3,1,TRUE
Alex Ceferin,2021-06-20,5,4100,4,9,3,3188,2582,0.44,1,0,0,FALSE
Cheen,2021-06-20,5,9050,8,6,4,4686,2103,1.33,0,5,1,TRUE
Captain Ahmed,2021-06-29,4,19950,15,7,4,6635,1800,2.14,3,4,2,TRUE
Alex Ceferin,2021-06-29,3,9225,7,3,2,2850,1725,2.33,2,3,0,TRUE
Cheen,2021-06-29,4,12100,14,7,9,6789,2696,2.0,4,2,2,TRUE
Captain Ahmed,2021-07-13,18,40625,15,45,25,9942,13775,0.33,3,22,1,FALSE
The Golden God,2021-07-13,18,50425,53,43,17,27536,13667,1.23,17,8,3,TRUE
Cheen,2021-07-13,19,35575,34,36,21,18890,12608,0.94,9,13,4,TRUE
Captain Ahmed,2021-07-21,17,52675,32,54,24,16073,13921,0.59,5,10,4,TRUE
The Golden God,2021-07-21,18,55962,59,48,23,27526,13451,1.23,16,8,3,TRUE
Cheen,2021-07-21,8,11875,21,26,13,9209,7033,0.81,3,4,1,TRUE
Captain Ahmed,2021-07-23,10,23025,7,18,8,7072,5756,0.39,3,3,1,FALSE
The Golden God,2021-07-23,10,22325,26,15,4,11129,4294,1.73,10,2,2,TRUE
Cheen,2021-07-23,10,18825,16,17,8,8735,4687,0.94,6,0,0,TRUE
